pk,id,name,parent_id
162,1290,Гильзы двигателя,2976
163,1312,Головки блока цилиндров,2976
164,1483,Детали КШМ,2976
165,2501,"Коленчатый вал, шестерни коленчатого вала",2976
166,2977,"Кривошипно-шатунный механизм, общее",2976
167,3014,Крышки головки блока цилиндров,2976
168,3406,Маховики двигателей,2976
169,5051,Поршневые группы,2976
170,5053,Поршневые кольца,2976
171,5054,Поршневые пальцы,2976
172,5055,Поршни,2976
173,7652,Шатуны,2976
174,113,Автомобильные коммутаторы,5964
175,133,Автомобильные провода зажигания,5964
176,1833,Замки зажигания и ключи,5964
177,2350,"Катушки зажигания, модули зажигания",5964
178,2702,Комплектующие системы зажигания,5964
179,5868,Свечи накаливания и зажигания,5964
180,5986,"Системы зажигания, общее",5964
181,6892,Трамблеры автомобильные,5964
182,122,Автомобильные масляные насосы,5970
183,1496,"Детали системы смазки, общее",5970
184,2705,Комплектующие системы смазки,5970
185,4906,Поддоны двигателя,5970
186,57,"Автоаксессуары, общее",208
187,149,Автомобильные электронные аксессуары,208
188,152,"Автомобильный скотч, самоклеющиеся карманы для талонов",208
189,209,Аксессуары для автотюнинга,208
190,225,Аксессуары для кузова автомобиля,208
191,280,Аксессуары салона автомобиля,208
192,523,Багажники и крепления на крышу,208
193,2270,"Канистры, лейки для топлива",208
194,6181,Средства аварийной безопасности,208
195,7278,Устройства для экономии топлива,208
196,7298,Утеплители автомобильные,208
197,7781,Щетки и скребки автомобильные,208
198,103,Автомобильные воздухоочистители,149
199,116,Автомобильные кофеварки,149
200,134,Автомобильные пуско-зарядные устройства,149
201,138,Автомобильные салонные вентиляторы,149
202,150,"Автомобильные электронные аксессуары, общее",149
203,99,Автомобильные аэродинамические обвесы,209
204,129,Автомобильные пленки,209
205,144,Автомобильные усилители жесткости,209
206,210,"Аксессуары для автотюнинга, общее",209
207,304,Альтернативная оптика,209
208,1075,Воздухозаборники,209
209,1440,Декоративные автомобильные накладки,209
210,1957,Защитные обвесы для автомобилей,209
211,3037,Кунги и хардтопы для внедорожников,209
212,3378,Материалы для вибро и шумоизоляции автомобиля,209
213,3822,Наклейки на автомобили,209
214,4919,"Подсветка салона, дверей, днища",209
215,6135,Спойлеры,209
216,6760,Ткани для обивки салона автомобилей,209
217,7789,Эквалайзеры на стекло,209
218,226,"Аксессуары для кузова автомобиля, общее",225
219,1045,Внутренние накладки на пороги,225
220,1577,Дефлекторы автомобильные,225
221,2996,Кронштейны запасного колеса,225
222,3185,"Ленты для контурной маркировки транспортных средств, катафоты",225
223,3613,Молдинги автомобильные,225
224,5039,"Пороги, подножки автомобильные",225
225,5413,Рамки для номерных знаков,225
226,7089,Уплотнители автомобильные,225
227,7626,"Чехлы, тенты автомобильные",225
228,7656,Шашки автомобильные,225
229,130,Автомобильные подвески,280
230,147,Автомобильные часы,280
231,281,"Аксессуары салона автомобиля, общее",280
232,286,"Акустические полки, корпуса, платформы и подиумы",280
233,481,Ароматизаторы автомобильные,280
234,981,Вешалки и столики автомобильные,280
235,2472,Коврики автомобильные,280
236,3225,Липкие коврики автомобильные,280
237,4400,Органайзеры автомобильные,280
238,4642,Пепельницы автомобильные,280
239,4909,Подлокотники автомобильные,280
240,4950,Подушки-подголовники,280
241,6091,Солнцезащитные козырьки для салона автомобиля,280
242,7619,Чехлы и ручки руля,280
243,7622,Чехлы ручек КПП,280
244,7623,"Чехлы, колпаки для запасного колеса",280
245,7624,"Чехлы, накидки, майки для автокресел",280
246,7761,Шторы автомобильные,280
247,118,Автомобильные крепления для лыж,523
248,135,Автомобильные рейлинги,523
249,524,"Багажники и крепления на крышу, общее",523
250,525,Багажники на крышу,523
251,877,Велокрепления,523
252,1373,Грузовые боксы,523
253,3770,Наборы и аксессуары для автомобилиста,6181
254,5184,Провода прикуривания,6181
255,5324,"Противооткатные упоры, башмаки",6181
256,6182,"Средства аварийной безопасности, общее",6181
257,6477,Стяжные и буксировочные ремни,6181
258,232,Аксессуары для мототехники,3690
259,254,Аксессуары для снегоходов и буксировщиков,3690
260,1871,Запчасти для мототехники,3690
261,2166,Инструмент для ремонта мототехники,3690
262,2355,Квадроциклы и багги,3690
263,3678,Мотобуксировщики,3690
264,3691,"Мототехника, общее",3690
265,3692,"Мотоциклы, мотороллеры, скутеры, мопеды",3690
266,3693,Моточехлы,3690
267,3696,Мотоэкипировка,3690
268,6068,Снегоходы,3690
269,7868,"Электроскутеры, электромотоциклы",3690
270,194,Аккумуляторы для мототехники,1871
271,1477,Детали выхлопной системы мототехники,1871
272,1480,Детали двигателя мототехники,1871
273,1488,Детали привода для мототехники,1871
274,1490,Детали рамы и облицовки,1871
275,1491,Детали рулевого управления мототехники,1871
276,1494,Детали системы охлаждения  мототехники,1871
277,1498,Детали тормозной системы мототехники,1871
278,1503,Детали ходовой части мототехники,1871
279,1872,"Запчасти для мототехники, общее",1871
280,1954,Защитные накладки для мототехники,1871
281,2503,Колеса для мототехники,1871
282,4913,Подножки для мототехники,1871
283,5859,Световые приборы для мототехники,1871
284,5867,Свечи зажигания для мототехники,1871
285,5945,Сиденья для мототехники,1871
286,6832,Топливная система мототехники,1871
287,6936,Тросики для мототехники,1871
288,7382,Фильтры для мототехники,1871
289,7862,Электрооборудование для мототехники,1871
290,7879,Элементы сцепления для мототехники,1871
291,3677,Мотоботы,3696
292,3679,Мотозащита,3696
293,3680,Мотокомбинезоны,3696
294,3682,Мотокуртки,3696
295,3683,Мотоочки,3696
296,3684,Мотоперчатки,3696
297,3694,Мотошлемы,3696
298,3695,Мотоштаны,3696
299,3697,"Мотоэкипировка, общее",3696
300,332,"Антиквариат, общее",331
301,333,Антикварная живопись,331
302,335,Антикварная посуда,331
303,337,Антикварное и коллекционное оружие,331
304,338,Антикварные знаки отличия и награды,331
305,340,Антикварные музыкальные инструменты,331
306,341,Антикварные предметы обихода,331
307,343,Антикварные ювелирные украшения,331
308,2093,Изделия под старину,331
309,2507,Коллекционные минералы,331
310,2508,Коллекционные модели транспорта,331
311,2509,Коллекционные солдатики и куклы,331
312,3596,Моделизм,331
313,3973,"Нумизматика, бонистика",331
314,7321,Факсимильные издания,331
315,7366,Филателия,331
316,312,Амуниция и экипировка,585
317,586,"Безопасность и защита, общее",585
318,4231,"Оборудование электронное, приборы защиты и безопасности",585
319,4440,Оружие,585
320,5988,Системы и средства пожарной безопасности,585
321,5998,Системы охраны и оповещения,585
322,6122,Специальные технические средства,585
323,6237,Средства индивидуальной защиты,585
324,6239,Средства организации дорожного движения,585
325,6257,Средства спасения на воде,585
326,6261,Средства хранения и транспортировки ценностей,585
327,6738,Технические средства видеонаблюдения,585
328,313,"Амуниция и экипировка, общее",312
329,724,Бронежилеты,312
330,726,Бронещиты и щиты противоударные,312
331,1713,Дубинки,312
332,1999,Знаки различия,312
333,7717,"Шлемы, бронешлемы и каски",312
334,5978,Системы антипотопа,4231
335,7845,"Электронное оборудование, приборы защиты и безопасности, общее",4231
336,2671,Комплектующие и аксессуары для оружия,4440
337,3578,"Мини-тиры, мишени для стрельбы",4440
338,4441,"Оружие, общее",4440
339,4856,Пневматическое оружие до 3 Дж,4440
340,5470,Револьверы под патрон флобера,4440
341,6887,Травматическое оружие,4440
342,6929,Тренировочное оружие,4440
343,2691,Комплектующие к пневматическому оружию,4856
344,4831,Пневматические винтовки до 3 Дж,4856
345,4845,Пневматические пистолеты до 3 Дж,4856
346,5170,Прицелы и мушки,4856
347,5361,Пули для пневматического оружия,4856
348,2654,Комплектующие для травматического оружия,6887
349,6886,Травматические пистолеты и револьверы,6887
350,3616,Молниезащита и заземление,5988
351,4962,Пожарная автоматика,5988
352,4964,"Пожарное оборудование, инвентарь и комплектующие",5988
353,5327,Противопожарные конструкции и материалы,5988
354,5989,"Системы и средства пожарной безопасности, общее",5988
355,7878,"Элементы систем, препятствующих распространению огня",5988
356,2611,Комплектующие для молниезащиты/заземления,3616
357,3407,Мачты молниезащиты/заземления,3616
358,3617,"Молниезащита и заземление, общее",3616
359,3618,Молниеприемники,3616
360,5407,Разрядники для молниезащиты/заземления,3616
361,5987,Системы и комплекты молниезащиты/заземления,3616
362,6556,Счетчики ударов молнии,3616
363,6819,Токоотводы,3616
364,7822,Электроды заземления и муфты,3616
365,4963,"Пожарная автоматика, общее",4962
366,4967,Пожарные  оповещатели,4962
367,4968,Пожарные извещатели,4962
368,5329,Противопожарные системы и сигнализации,4962
369,6258,Средства тестирования и эксплуатационного контроля,4962
370,928,"Вентили, клапана и муфты",4964
371,1063,Водопенное оборудование,4964
372,1266,Гидранты пожарные,4964
373,1313,Головки пожарные,4964
374,2634,Комплектующие для противопожарного оборудования,4964
375,3603,Модули пожаротушения,4964
376,4289,Огнетушители,4964
377,4429,Оросители пожарные,4964
378,4634,Пенообразователи,4964
379,4942,"Подставки, фланцы, тройники",4964
380,4965,"Пожарное оборудование, инвентарь и комплектующие, общее",4964
381,4966,Пожарно-спасательные комплексы,4964
382,4969,Пожарные лестницы,4964
383,4970,"Пожарные мотопомпы, насосы и насосные станции",4964
384,4971,Пожарный инвентарь,4964
385,4972,Пожарный инструмент,4964
386,5708,Рукава пожарные,4964
387,6296,Стволы пожарные,4964
388,3605,Модульные блоки огнезащитные,5327
389,5325,"Противопожарные гильзы, манжеты, рукава",5327
390,5328,"Противопожарные конструкции и материалы, общее",5327
391,354,Аппаратура сигнализации и связи,5998
392,714,"Брелки, пульты для охранных систем",5998
393,1362,Громкоговорители,5998
394,1998,Знаки и таблички безопасности,5998
395,2861,Короба и корпуса для охранных систем,5998
396,3600,Модули контроля и управления,5998
397,3601,Модули памяти,5998
398,4525,Охранные извещатели,5998
399,4526,Охранные оповещатели,5998
400,4527,Охранные системы и сигнализации,5998
401,5146,Приемно-контрольные приборы и приборы управления,5998
402,5999,"Системы охраны и оповещения, общее",5998
403,6919,Тревожные кнопки и кнопки выхода,5998
404,7283,Устройства приемо-передачи сигналов,5998
405,355,"Аппаратура сигнализации и связи, общее",354
406,287,Акустические сейфы,6122
407,1221,Генераторы шума,6122
408,1507,Детекторы лжи и полиграфы,6122
409,4878,Подавители диктофонов,6122
410,5177,"Проблесковые маячки, спецсигналы и сирены",6122
411,6017,Сканирующие приемники,6122
412,6123,"Специальные технические средства, общее",6122
413,6734,Техническая защита информации,6122
414,7280,Устройства обнаружения скрытых видеокамер и жучков,6122
415,1951,Защитные дерматологические средства,6237
416,2473,Коврики диэлектрические,6237
417,4330,Одежда рабочая,6237
418,4488,Отпугиватели животных,6237
419,5942,Сигнальная одежда,6237
420,6231,Средства защиты от падений и лазы,6237
421,6238,"Средства индивидуальной защиты, общее",6237
422,6596,"Тактические ручки, куботаны, явары",6237
423,7873,Электрошокеры и комплектующие к ним,6237
424,742,Брюки рабочие,4330
425,1318,Головные уборы рабочие,4330
426,1795,Жилеты рабочие,4330
427,2540,Комбинезоны и полукомбинезоны рабочие,4330
428,2904,Костюмы рабочие,4330
429,3084,Куртки рабочие,4330
430,4331,"Одежда рабочая, общее",4330
431,7336,Фартуки рабочие,4330
432,7492,Халаты рабочие,4330
433,330,Антигололедные реагенты,6239
434,979,"Вехи, столбики сигнальные",6239
435,1107,Временные дорожные ограждения,6239
436,1682,Дорожные знаки,6239
437,1686,Дорожные ограждения и элементы к ним,6239
438,3332,Маркировочные обозначения и знаки опасности,6239
439,5011,Полицейские лежачие,6239
440,5864,Светофоры,6239
441,6006,Системы управления дорожным движением,6239
442,6240,"Средства организации дорожного движения, общее",6239
443,4817,Пломбираторы,6261
444,4818,Пломбы для контроля и сохранности,6261
445,4819,"Пломбы и пломбираторы, общее",6261
446,5449,Расходные материалы для опломбирования,6261
447,6262,"Средства хранения и транспортировки ценностей, общее",6261
448,1004,"Видеокамеры-обманки, муляжи",6738
449,1008,Видеорегистраторы стационарные,6738
450,2253,Камеры видеонаблюдения,6738
451,2643,Комплектующие для систем видеонаблюдения,6738
452,4275,Объективы для камер видеонаблюдения,6738
453,4862,ПО для видеонаблюдения,6738
454,5980,Системы видеонаблюдения,6738
455,6739,"Технические средства видеонаблюдения, общее",6738
456,666,Блоки питания для компьютеров,2643
457,1009,Видеотестеры,2643
458,1396,"Дайсеки, усилители, телевизионные разветвители",2643
459,2491,Кожухи и кронштейны,2643
460,2644,"Комплектующие для систем видеонаблюдения, общее",2643
461,3629,Мониторы,2643
462,4776,Платы и карты видеозахвата,2643
463,5365,Пульты для систем видеонаблюдения,2643
464,5932,"Сетевые коннекторы, модули и разъемы",2643
465,7027,УЗИП,2643
466,61,"Автобусы, микроавтобусы",1367
467,62,"Автобусы, спецтехника, общее",1367
468,67,Автозапчасти и комплектующие,1367
469,94,Автомобильная электроника,1367
470,164,"Автохимия, автокосметика и автомасла",1367
471,1067,Военная техника,1367
472,1322,Гольф кары,1367
473,1370,Грузовые автомобили,1367
474,1607,Диски и шины,1367
475,1675,Дополнительное оборудование,1367
476,2549,Коммунально-уборочная техника,1367
477,5171,Прицепы и полуприцепы,1367
478,6128,Спецтехника,1367
479,60,Автобусы,61
480,92,Автомобили медицинского назначения,61
481,2546,"Коммерческие автомобили и микроавтобусы, общее",61
482,3556,Микроавтобусы,61
483,3580,"Минифургоны, минивены",61
484,68,"Автозапчасти и комплектующие, общее",67
485,71,Автозеркала и комплектующие,67
486,105,Автомобильные гидравлические компоненты,67
487,161,Автостекла,67
488,1289,Гидроцилиндры,67
489,1422,Двигатели и детали двигателя,67
490,1484,Детали мостов и привода трансмиссии,67
